amount,hour_of_day,day_of_week,transaction_count_1h,transaction_count_24h,distance_from_home,distance_from_last_transaction,is_foreign_transaction,is_online_transaction,merchant_category_encoded,card_type_encoded,device_type_encoded,is_fraud
649.92,17,2,1,23,59.1899612321938,704.5026828596829,1,1,9,1,1,0
1130.47,18,4,1,21,22.725025233155716,750.1438750575137,1,1,6,1,0,0
2233.18,12,4,3,17,40.937363260230164,981.8418276997875,0,0,4,0,1,0
2692.86,13,3,2,7,92.64085679305713,601.7844922291589,1,0,4,0,2,0
1745.4,9,6,2,11,63.54898747472569,682.8533753513461,1,1,5,0,2,0
1290.53,21,0,2,2,5.695652765238579,226.17870871472957,1,1,2,0,3,0
28762.82,1,4,14,29,1040.4872056431213,176.24460634286555,1,0,6,1,1,1
1115.08,14,2,2,8,0.0651073506613975,435.0228242545586,0,0,3,0,3,0
999.3,10,2,3,27,2.458265388129488,207.7677768508206,1,0,9,0,2,0
1677.5,17,1,1,29,17.337980319260172,405.39830611565276,1,1,0,1,0,0
2272.26,16,3,2,28,70.98791871836187,380.6678126721943,1,0,1,0,3,0
1809.14,14,6,2,11,22.827056587720705,150.46527819668586,1,0,2,0,2,0
2092.41,20,4,3,17,49.85329124075947,498.7060723334508,1,1,8,1,0,0
1798.01,14,2,1,29,93.59725247638004,408.44746253918106,0,1,3,1,0,0
308.4,9,2,3,9,35.53202563871426,452.14698749534944,1,1,2,0,2,0
2002.54,11,2,2,15,68.51880140158613,786.9644880316653,1,1,8,0,2,0
21835.04,4,6,8,5,4300.007308007746,384.28217109783316,1,0,7,1,0,1
2378.48,10,0,1,7,17.744602184496326,925.0677545412593,1,1,7,0,1,0
1650.27,10,2,1,18,90.91023989127855,563.7768147814037,0,0,7,0,1,0
2207.94,12,2,2,21,13.364682701343533,209.4233957847983,1,0,3,1,3,0
360.53,11,1,3,28,36.754359927704364,2.064982588713682,0,1,7,1,2,0
2402.41,15,1,3,26,50.92508703805885,287.34153714545073,0,0,5,1,0,0
904.5,8,2,3,5,76.41497552221735,204.49980664710264,0,0,9,0,1,0
1600.31,18,0,2,18,42.24060213283805,182.86822372133682,0,1,0,1,1,0
126.05,18,2,1,22,17.265156240526437,411.8715955221597,1,1,3,1,1,0
1334.94,21,6,1,11,74.36727146536013,728.8984931283375,0,1,9,0,2,0
728.25,16,5,2,21,66.054935940585,918.7546549363861,1,1,0,0,2,0
14055.5,3,1,15,6,2111.5681565284294,449.51760018354594,1,1,0,1,3,1
339.33,16,3,2,3,52.89484512234429,37.85065976735624,0,0,2,0,0,0
2154.66,15,6,2,29,26.93881006783577,194.51272868645697,1,0,7,1,2,0
2601.61,10,1,2,28,87.40650112878447,359.7573341074093,1,0,5,1,3,0
1220.4,17,4,2,5,33.91543168738629,373.0151386323546,0,0,8,0,3,0
787.68,17,3,2,14,67.44555400690516,528.1063006276426,1,1,2,1,0,0
979.34,19,2,2,4,12.663274946918769,648.8791229653997,1,0,5,1,2,0
1813.33,17,0,2,2,10.572583968773541,17.978560987345293,1,0,2,1,0,0
48875.7,3,1,15,22,4789.69644411639,535.0348728495704,0,1,2,0,2,1
261.89,16,6,3,10,10.642548618047698,572.9056634175909,0,1,9,1,1,0
1545.09,14,6,3,15,78.7242521261192,373.4950262603004,0,0,9,1,1,0
1302.33,18,3,2,29,39.76711463157112,324.81254871511135,0,1,1,1,2,0
30668.01,2,6,10,7,1701.9765396610403,546.7869626227539,1,1,0,1,3,1
2276.58,9,4,1,7,69.29208752031177,456.8656299762176,0,1,7,0,0,0
1138.77,8,3,3,22,59.42505588410387,965.9278660907447,0,1,5,1,0,0
2367.71,11,0,2,3,53.184176727601965,716.5673425313033,0,0,5,0,3,0
2191.41,20,3,1,6,56.39882598518875,605.9825769291534,1,0,5,0,3,0
750.06,14,1,2,6,90.7950011924044,754.0012998868996,1,0,2,0,1,0
339.67,12,1,2,13,84.39831312730904,88.75343984147932,1,0,0,1,0,0
220.71,14,4,2,18,7.099167490299707,91.09910635891372,0,0,7,1,3,0
1928.58,12,4,1,28,34.604418883952505,963.5249011117439,1,1,6,1,3,0
2902.48,15,0,2,4,62.59748248141964,632.7679187432723,1,1,2,0,1,0
133.5,14,1,1,3,0.10064845732079553,666.6359547379809,0,1,3,1,2,0
517.2,14,2,2,26,58.80133349169443,668.2952071256082,0,0,8,1,3,0
2895.08,14,6,1,5,75.82275914542963,522.7774257008704,0,1,2,1,3,0
2571.7,10,1,3,10,66.32375855492457,558.7031115002595,0,1,8,1,2,0
2841.75,18,4,2,4,12.998999423123802,235.68040896182484,1,1,5,1,2,0
1304.83,18,5,1,21,38.40258175351229,180.5319768980499,1,1,2,0,0,0
1537.02,10,1,1,10,71.6932739123054,611.8817905711695,1,1,9,0,0,0
2908.6,12,0,2,27,17.249914231302554,803.6985405425094,1,0,4,0,1,0
348.76,15,4,3,12,92.23769253222099,989.162892612254,1,1,1,1,3,0
778.27,22,1,1,2,40.2098079551814,820.2433753988809,1,1,6,0,1,0
1183.89,16,1,2,28,52.95732956498216,322.2724289690626,0,1,1,0,3,0
2043.26,8,5,1,18,32.31387497796005,922.9569587602829,0,0,5,0,1,0
1188.21,19,3,3,1,53.567239490862576,337.5809521731933,0,0,1,0,3,0
576.73,22,2,2,5,7.526957588937789,857.1059690728055,1,0,8,0,3,0
647.98,12,0,1,13,57.2553569459575,669.6518379772726,0,0,3,1,2,0
902.09,22,3,2,20,20.402988195029614,880.2327032374736,0,0,6,0,3,0
1061.02,13,3,3,27,64.34146840626342,289.11386897848655,1,0,9,0,1,0
1554.73,16,6,3,29,79.4721162662692,237.11094767387488,1,0,5,0,1,0
1280.42,13,2,1,23,65.22632978530133,435.12203063813826,1,0,9,0,2,0
382.3,17,4,3,19,55.61515028504553,86.49482782246265,1,0,2,1,0,0
2159.79,8,4,2,16,65.39415502452545,435.55044060176226,0,0,5,1,1,0
769.28,17,5,1,12,51.89675468052194,561.2957994035423,1,1,9,1,3,0
408.94,15,1,2,26,70.39110621360244,89.61989390767211,0,1,0,1,0,0
200.18,17,3,2,30,59.780590800438645,487.05745180147267,1,1,5,1,2,0
48416.47,3,1,18,11,3119.8042324727844,424.78112029649407,0,1,3,0,1,1
263.97,8,6,2,10,37.55954574859736,904.550093116488,1,1,9,1,3,0
2147.77,16,6,1,4,92.2319033191101,624.0209689445917,1,0,3,1,2,0
1104.59,12,5,3,27,32.42021894915176,709.1427921979621,0,1,7,1,1,0
2255.21,13,0,3,22,10.565172247754063,421.08846518170895,0,0,0,0,0,0
1274.44,19,1,2,4,52.01706439122218,563.6927770931752,1,1,2,1,1,0
23.49,13,5,1,8,62.84207546719445,958.813928313302,0,0,9,1,2,0
598.15,12,1,1,26,53.09651002425929,929.5802111792138,0,1,1,1,0,0
2840.03,18,4,3,12,64.42002811724875,107.15606011608658,1,1,7,0,1,0
84.23,10,5,3,27,69.84566457499271,723.7510284429371,1,1,4,1,0,0
213.38,14,0,1,27,84.52249635183306,798.5578338575048,0,1,3,0,1,0
75.69,8,0,1,19,2.40438219126613,625.5364685354941,0,1,4,0,2,0
301.89,9,6,1,24,17.913987244705755,107.5683013577382,1,0,2,0,3,0
1376.05,12,6,2,18,23.421848387775977,804.0197324080037,0,1,8,0,1,0
600.77,19,1,3,27,53.79306708500544,248.9648917809214,1,0,3,0,1,0
51.48,8,2,2,8,22.375751709591928,509.6815661340933,1,1,9,0,2,0
2452.37,9,0,1,3,5.093134282302203,155.300924139417,0,1,3,1,2,0
2242.28,8,6,3,19,59.90097505786136,38.77529523560108,0,0,5,1,3,0
1005.33,18,1,3,22,25.65047198651744,326.74915053510534,0,1,7,1,0,0
2753.95,11,5,3,7,47.537994018337706,44.21332959419,0,1,8,0,3,0
1785.71,17,0,1,4,54.1826710741214,453.0877541799365,0,1,2,0,0,0
499.49,21,4,2,26,43.96650489271979,758.5746759668015,0,1,8,1,3,0
2823.08,17,5,3,9,12.231609139847432,659.9688596210552,1,1,3,1,1,0
2600.52,19,5,1,15,55.853466901332325,568.8170345304279,0,0,9,0,3,0
1184.45,16,3,2,18,88.84787480411109,408.911044901993,1,1,1,0,1,0
2681.22,22,3,1,8,55.742103461596336,307.1206764763408,1,0,5,0,1,0
1967.12,9,1,3,6,25.9573704024015,120.63514512471629,1,0,0,0,0,0
1122.47,14,3,3,24,32.42215718955074,528.8526117208747,1,1,7,1,3,0
2646.47,11,4,2,15,48.282032915881814,728.3739081541992,1,0,1,1,2,0
150.82,12,1,3,18,33.234934499775605,370.31003593628975,0,0,7,0,1,0
2792.6,22,4,3,28,44.334988376680805,766.6444467845263,1,1,1,0,0,0
971.27,10,2,2,16,18.345131895366052,268.7502203055144,0,0,8,0,2,0
1876.04,22,4,2,21,91.50083709211832,939.7092249763577,0,0,9,1,3,0
40707.67,4,1,18,24,1530.2518454330273,264.17803287698695,1,1,3,1,2,1
2016.85,12,5,1,24,45.195389060527305,765.1638669707761,0,1,3,0,0,0
702.95,19,0,1,24,6.413530454560168,339.20830264890446,1,0,5,1,1,0
1654.53,19,4,3,14,95.5101264787865,934.7169713642044,1,1,5,0,0,0
2980.09,15,1,3,30,0.9714105519584515,13.907042263164303,0,1,3,1,0,0
1382.53,17,6,1,10,86.661125403029,125.96791773591298,0,0,1,0,3,0
46849.8,2,2,5,4,1815.3624038420455,501.5428561615496,1,1,6,1,0,1
2459.59,17,1,2,26,85.7805010165117,503.37422420051337,1,1,5,0,0,0
21018.64,4,4,6,1,2168.0531130539366,89.91603937943115,0,1,9,0,0,1
1851.66,21,3,3,18,12.991635701640035,784.9684503279524,0,0,3,0,0,0
1697.9,21,5,2,23,9.177074930332807,606.1499911103916,0,0,3,0,3,0
17.74,11,4,1,12,89.69931346597679,338.011227045117,1,0,8,1,2,0
30596.59,1,2,10,6,3357.2310263467816,766.579930903895,0,0,4,1,3,1
1916.73,12,1,1,23,51.17646053648672,147.42953557090445,0,0,7,0,3,0
718.13,14,5,3,30,69.48377405713579,969.9902188248052,0,1,8,1,3,0
1445.34,16,3,2,12,56.96006274803786,193.22600227810437,0,0,3,1,0,0
1228.61,11,0,1,30,67.01279741092011,606.110261751443,1,0,4,0,0,0
2707.87,14,4,3,14,91.31708514952447,490.09130353592235,1,0,2,1,0,0
1701.75,11,6,3,22,65.2011912193708,791.6106775745757,1,1,5,0,3,0
20795.22,4,0,9,17,1219.555037633032,976.2777535969163,0,1,6,1,1,1
1610.17,12,2,2,15,41.40942241159563,759.2191189147342,1,1,5,0,3,0
2202.58,20,2,3,13,55.843943807228435,848.5476044101124,0,0,4,0,1,0
1855.32,8,0,2,17,99.36375130817287,353.9855370636944,0,1,2,0,1,0
2949.74,12,5,3,26,57.38426601951282,927.413747442781,0,0,4,1,2,0
1451.67,21,0,3,4,5.124949681552038,178.05726085255301,1,1,0,0,1,0
2742.2,9,1,3,21,43.290155490195744,163.56820410227547,1,1,0,0,1,0
2104.52,16,3,1,29,91.65398162385829,652.6838413997351,1,1,3,1,3,0
46.87,16,3,3,4,16.653046286718276,226.9678199670343,1,0,1,0,2,0
858.13,8,4,1,21,37.82941455783105,729.145795857037,0,0,6,0,2,0
2657.03,10,2,1,25,69.79555233738081,330.0770817511693,1,0,6,1,2,0
2429.19,14,1,1,19,45.78474038743179,973.0551203191832,0,0,3,0,3,0
406.62,18,3,2,26,54.54842076227692,537.4820469574497,0,1,3,1,1,0
2004.04,16,3,3,27,4.432122776710246,21.845178137673393,1,1,8,1,1,0
2732.45,22,2,2,27,25.9392326728517,350.5741535838335,0,0,6,1,3,0
34435.72,4,2,17,25,2743.5795518512537,14.622422236372334,0,0,5,0,2,1
2065.74,12,4,1,1,11.155823817449262,73.57032401925312,0,0,0,1,1,0
2859.69,16,6,2,9,92.00938117653227,937.3155090999968,1,1,2,1,3,0
2620.89,13,3,2,19,36.00578953473953,302.4442338013064,1,1,8,0,3,0
2123.43,18,0,2,4,60.006543575106576,903.9458611701905,1,0,2,0,3,0
1709.85,13,3,3,5,74.54540649072817,790.399229661354,1,1,1,1,3,0
478.13,13,2,3,29,8.389000825578163,437.6978635096219,0,1,6,0,2,0
21665.38,3,2,17,25,4228.223186631079,661.7806202587492,0,1,5,0,3,1
1606.68,22,0,2,15,21.58954016049308,166.22246830469766,0,0,4,1,0,0
1192.41,10,6,3,24,98.14369329860259,914.1119006913868,0,1,6,1,0,0
566.98,9,5,2,30,14.355278413003703,295.95503718350847,0,0,7,1,1,0
995.4,15,5,1,3,44.40425763924046,883.3658106115738,1,0,0,1,2,0
2676.98,14,0,1,21,73.6820584820339,218.27598383054493,0,1,8,0,3,0
2911.49,16,2,3,17,91.0382333960945,431.4227666799331,0,0,1,0,3,0
1107.12,13,1,1,26,88.01987242187346,604.8647732958707,0,0,7,0,2,0
2604.36,21,5,2,11,36.19693751851754,326.43028252248064,0,0,8,1,0,0
169.53,19,0,3,14,9.667099116050249,701.6709070708232,0,0,0,0,1,0
1956.47,21,3,2,4,78.03439979412032,375.91337346286224,1,0,8,1,2,0
1937.81,19,5,1,17,99.53276808186665,940.556479461469,1,1,7,0,2,0
2971.08,9,0,3,15,47.807661027306544,171.44649490952702,0,0,3,1,1,0
1987.86,8,3,2,25,42.15890224045356,71.29957831377153,0,0,4,1,1,0
695.65,20,0,2,30,87.73603171403842,377.74253385332736,0,1,9,1,2,0
38254.33,4,0,20,22,1092.5653905587778,257.50446336788013,1,1,2,0,0,1
2409.0,16,5,2,6,15.37741948778536,525.0076103757428,0,1,7,0,2,0
746.43,14,5,2,18,44.29769833565581,353.67780069165025,1,0,4,0,0,0
2245.88,9,1,2,16,5.178999356681624,108.56479675683816,0,0,1,0,1,0
382.67,14,5,2,9,22.710443899191024,353.3348984380601,0,0,4,1,3,0
41.73,13,3,1,14,34.38891250732795,810.6672074638542,1,1,5,1,2,0
1921.22,21,3,3,4,53.10409750065679,770.5381551490458,1,1,2,1,1,0
642.57,19,1,1,22,94.14553526911692,756.0964003382296,0,1,6,0,1,0
2864.03,9,4,3,29,17.700314510874747,172.66674610673783,1,0,4,1,1,0
2903.77,12,3,1,16,16.098276972024607,686.0213419347673,1,1,6,1,2,0
2219.65,12,4,2,26,12.74505386270961,713.0474709117391,0,1,6,0,0,0
1443.01,22,6,1,29,57.18012345051461,629.5383989657952,0,1,7,0,0,0
724.34,13,5,3,12,14.586020474300089,958.338807055624,1,1,6,1,1,0
49160.07,2,0,5,5,4589.311652830761,905.5768564361359,1,0,7,1,3,1
1666.45,12,6,1,14,70.57360447044479,810.6276266988115,1,1,3,1,2,0
2594.26,22,1,3,25,29.432772198350076,351.5739413206858,0,1,4,0,2,0
476.0,14,2,2,3,80.54361397538023,895.8385796220227,1,1,8,0,3,0
1139.24,19,0,2,10,74.75384628856753,918.6707925000297,0,1,8,0,1,0
1319.94,9,5,1,1,92.67302377943841,212.84931111178574,1,1,3,0,0,0
2748.38,21,4,2,22,30.632867567377055,208.56538215683474,1,0,5,0,1,0
365.07,22,1,1,4,65.883125433902,37.038414043061294,0,0,2,1,2,0
981.19,11,3,3,6,84.97819550548122,945.103903988714,0,0,8,0,3,0
398.62,9,2,2,26,33.85968447397926,896.785003118593,0,0,8,1,0,0
286.86,20,6,3,28,31.4080722061,50.185609150211306,0,0,7,1,3,0
1307.77,17,4,3,29,12.273669613976745,828.9646717038246,0,1,3,1,0,0
1396.12,10,2,2,27,8.144435045933596,295.48193859261596,0,0,4,1,3,0
2929.1,20,4,2,12,72.29024248335713,746.5248067805917,0,1,1,1,1,0
2699.09,18,6,2,29,12.753675268223219,252.11950735155165,1,1,4,0,2,0
1119.23,19,5,3,16,14.977526540885655,8.952274449398057,1,0,3,1,1,0
1478.73,11,3,3,17,3.734714578515941,965.7793926637187,1,0,1,1,3,0
1228.36,16,3,2,7,37.53256009988428,132.8506151993194,1,0,6,0,3,0
331.49,12,0,1,25,34.42097165423882,449.6403838708136,1,1,1,0,1,0
1359.14,11,6,1,13,93.5267299207733,467.6310898966073,0,1,5,0,1,0
989.41,11,0,1,2,82.07427553254117,216.66051778687333,1,0,7,1,2,0
36486.53,2,1,9,17,2548.158900484985,801.648620257825,0,1,5,0,0,1
1663.69,18,6,3,4,59.72399228323829,628.0426419766775,1,0,3,0,2,0
2525.61,19,5,1,6,97.47464699269382,158.51830964693437,1,1,0,1,1,0
1333.44,12,4,1,17,80.16892166840941,861.218599513179,0,0,8,0,3,0
1157.48,11,3,3,12,16.32293415097783,746.7005440216813,1,0,5,0,0,0
1659.86,12,6,3,26,17.31207673800427,139.52635013180858,1,0,2,1,1,0
1378.9,19,1,2,18,33.48451876764774,799.176566609369,1,1,0,0,3,0
1603.43,20,5,2,22,27.82020500898569,785.8884597357744,0,1,7,1,3,0
1659.35,13,0,2,16,64.14832283838709,1.3985823032015565,1,1,0,1,3,0
2556.92,11,4,3,14,42.6455744495139,354.2049718740644,1,0,5,1,1,0
2927.38,9,4,3,21,2.9252414850058694,323.05209897331247,0,0,2,0,2,0
185.92,15,0,2,3,76.23887562297111,946.6194827273666,0,1,4,0,3,0
1246.25,20,6,1,27,68.05922717005467,555.3414794646658,1,0,7,1,1,0
618.99,9,1,1,30,44.43808985150739,470.70480745667965,1,1,7,1,3,0
583.78,21,0,3,4,65.85704369360185,48.15859221772201,0,1,3,0,0,0
27615.9,2,5,7,4,2448.2523716415203,121.63371501601527,1,0,9,1,3,1
1158.57,21,3,2,23,29.34784400388004,746.4979863333388,0,0,5,1,1,0
2239.13,17,5,2,14,39.6657233240412,56.044878299770005,1,0,9,0,1,0
1856.5,18,4,1,7,29.933063541937067,294.0484747195483,1,1,6,1,1,0
2737.82,12,4,1,15,64.01863257232097,769.7912059246352,1,1,3,0,3,0
1747.27,17,3,2,24,5.189954642354444,257.19228160777607,1,0,5,1,3,0
2879.55,14,5,1,30,40.41002374917475,317.71939739761825,1,1,2,1,3,0
2809.01,9,4,1,18,61.33842066214438,264.2919611778193,1,0,8,1,0,0
1689.17,11,1,3,8,38.318663952832125,199.57873946174087,1,1,4,0,0,0
2589.15,19,1,2,7,72.88805119142393,321.87464508371545,1,1,0,1,1,0
1549.47,20,0,1,30,5.124808129451419,799.7099304088123,0,1,4,1,1,0
1852.75,13,6,3,14,3.7009807948951368,641.7649432267276,1,1,7,1,0,0
1345.03,15,6,1,28,60.63527395832141,284.6693000330263,1,0,7,0,3,0
963.24,13,4,1,9,55.2689360391172,904.8963416980456,0,0,9,1,0,0
2682.24,13,6,1,4,12.178239186829076,639.5844813268924,0,0,5,1,0,0
42084.92,2,5,19,27,2440.674129263385,662.846342920918,0,1,3,1,0,1
195.61,8,5,1,22,61.583556528468186,99.38406776231467,0,1,1,0,3,0
1267.35,15,0,3,14,12.210222740769193,47.65547941664339,1,1,2,0,3,0
1161.97,20,2,2,5,79.4561163329448,322.9750530199819,1,1,0,1,1,0
2582.9,9,6,1,10,18.88643901467151,758.6919646114168,0,1,0,1,0,0
124.95,14,0,1,24,53.17916957368095,514.4672152181779,1,1,9,1,2,0
530.49,20,6,3,17,78.2904764491079,864.8304214269451,1,1,5,1,2,0
1677.34,14,0,3,28,96.55333471195672,903.4855517389339,1,1,5,1,0,0
1481.7,12,0,1,16,54.55810672051765,244.61608148714464,1,1,8,1,1,0
846.99,14,0,3,21,28.004021558446958,261.8321558465179,1,1,6,1,1,0
2832.93,10,1,2,24,37.284706708268686,790.5061499900157,1,0,3,0,3,0
828.94,10,2,3,29,25.827356719228113,959.0569772863694,0,1,0,0,3,0
435.54,8,3,2,22,65.99693083543907,782.54393612785,0,1,6,0,0,0
368.59,8,4,2,4,26.2670069271673,408.9252037295014,0,0,3,1,2,0
8846.58,0,5,15,7,4171.393165032321,336.17266806975533,0,1,1,1,3,1
1744.75,12,1,3,13,73.43272724988073,971.997260575706,0,0,3,1,1,0
1975.54,12,2,3,30,33.502976123031516,402.9690090505836,0,0,9,0,1,0
902.76,14,4,3,13,29.38600704536466,381.52492703048466,1,1,1,1,1,0
1857.77,12,2,3,30,81.27534050412325,91.69909516814157,1,1,4,1,3,0
2856.67,9,6,1,30,54.21690828879437,411.96062541697574,0,0,6,1,3,0
283.93,11,1,3,15,39.830042531832596,454.8165367156554,1,1,3,0,3,0
1415.86,21,2,1,1,77.73869436997312,982.498923722284,0,0,4,1,2,0
2641.47,10,0,3,7,35.10141326891254,798.8008773068086,1,0,9,0,3,0
561.86,21,5,1,23,88.06649436443212,276.96883796622683,1,1,5,1,0,0
290.76,21,6,1,14,30.88538915118033,5.145214714794122,0,0,5,0,1,0
651.09,12,0,2,19,69.09460041494326,833.0246990114679,1,1,0,0,1,0
2182.11,22,5,2,22,9.474323894298431,252.31849562304643,0,1,0,1,0,0
1262.37,19,4,1,4,93.29469770670016,973.265474732043,0,0,0,0,2,0
2914.35,10,6,2,22,2.759592041425296,918.4359394154286,0,0,5,1,2,0
2182.28,16,5,1,19,59.00922763575356,380.70352250646624,0,0,0,1,2,0
2678.87,22,3,2,29,31.97204914778147,0.6152349893530085,1,1,6,0,0,0
2911.08,9,2,3,15,4.5654619317549,889.0153654684291,1,0,4,0,1,0
45487.81,0,3,19,24,583.2203273181447,35.05679156000663,0,1,2,1,1,1
1855.18,20,3,3,7,3.4840927172900105,450.59525934490694,0,1,8,0,3,0
174.18,11,1,1,29,57.84120801207221,491.7346535437271,0,1,4,1,1,0
1098.51,18,2,3,6,12.02969461165938,675.1013842690138,1,0,1,1,1,0
989.48,17,5,2,19,66.21862975182275,373.1667631608164,1,0,4,1,0,0
1945.47,19,6,3,22,8.315604277137279,287.05076778262895,1,0,2,1,3,0
1311.32,11,6,2,12,42.2968394905893,866.7718066588461,1,1,6,1,3,0
1934.01,22,1,1,12,50.04054498615683,804.1752397916615,0,0,2,1,2,0
1165.4,15,5,1,7,81.97232427503927,71.43511710509809,0,0,4,0,3,0
18646.02,3,0,10,16,1102.9129749011583,484.7672300445426,0,0,3,1,3,1
2950.01,13,0,1,1,29.888423010173028,53.67089007681336,0,1,5,1,3,0
2897.54,12,0,1,14,48.829165226564974,807.7762242583041,0,0,9,1,0,0
502.42,18,0,1,12,90.12152588406109,807.564620016453,1,1,8,0,3,0
2613.12,18,5,1,17,80.22834933151667,103.70713736195913,1,1,7,0,3,0
2503.33,22,2,3,22,85.19493046018553,887.942812685875,1,1,5,0,0,0
1143.69,22,2,1,30,96.00955622132396,225.95647353648752,0,1,3,0,3,0
23712.67,4,2,19,13,1011.5249162852372,812.4388032740216,1,0,9,0,1,1
2872.05,20,4,3,7,3.3193370132110434,869.1841273388147,0,1,1,0,3,0
2636.28,13,2,2,29,99.55146162253263,757.1804651450223,0,0,4,1,0,0
1392.73,22,3,2,13,53.84766696055363,180.19030079125852,1,0,9,1,2,0
502.64,21,5,2,12,36.541444261317416,716.9835052097526,0,0,9,1,0,0
1335.57,14,2,2,2,71.55934275947753,440.61187496328034,1,0,2,1,1,0
1779.01,21,2,2,26,6.545328142248941,636.8745549236171,0,1,8,1,2,0
1788.52,12,5,3,18,48.18901653251616,220.61367702608825,0,0,8,1,2,0
2539.87,12,6,2,27,34.798452729151265,246.89672988414657,0,1,9,1,3,0
2817.6,13,1,1,4,40.1486305050355,233.42599423596488,0,0,5,1,1,0
